year,state,gender,false,true,total,%
1910,AK,F,44,24,68,35.294117647058826
1910,AK,M,26,21,47,44.680851063829785
1910,AL,F,11436,1666,13102,12.715615936498246
1910,AL,M,5024,1579,6603,23.913372709374528
1910,AR,F,6604,935,7539,12.402175354821594
1910,AR,M,2783,720,3503,20.553811019126464
1910,AZ,F,473,113,586,19.283276450511945
1910,AZ,M,355,133,488,27.25409836065574
1910,CA,F,5271,679,5950,11.411764705882353
1910,CA,M,2474,740,3214,23.024268823895458
1910,CO,F,2082,389,2471,15.742614326183732
1910,CO,M,864,274,1138,24.077328646748683
1910,CT,F,2560,612,3172,19.293820933165197
1910,CT,M,882,458,1340,34.179104477611936
1910,DC,F,734,139,873,15.922107674684993
1910,DC,M,420,220,640,34.375
1910,DE,F,397,92,489,18.813905930470348
1910,DE,M,121,80,201,39.800995024875625
1910,FL,F,3541,486,4027,12.068537372734045
1910,FL,M,1918,675,2593,26.0316236020054
1910,GA,F,13741,1855,15596,11.89407540394973
1910,GA,M,6730,2278,9008,25.288632326820604
1910,HI,F,311,60,371,16.172506738544474
1910,HI,M,124,77,201,38.308457711442784
1910,IA,F,5021,695,5716,12.158852344296712
1910,IA,M,1807,367,2174,16.881324747010122
1910,ID,F,635,122,757,16.116248348745046
1910,ID,M,247,85,332,25.602409638554217
1910,IL,F,15807,2584,18391,14.05035071502365
1910,IL,M,6205,2054,8259,24.869838963554912
1910,IN,F,6067,1323,7390,17.90257104194858
1910,IN,M,2240,531,2771,19.162757127390833
1910,KS,F,4124,659,4783,13.777963621158268
1910,KS,M,1790,403,2193,18.376652986776108
1910,KY,F,9045,1594,10639,14.982611147664255
1910,KY,M,3468,1112,4580,24.27947598253275
1910,LA,F,8550,1158,9708,11.928306551297899
1910,LA,M,3640,1212,4852,24.97938994229184
1910,MA,F,8773,1757,10530,16.685660018993353
1910,MA,M,3192,1539,4731,32.53012048192771
1910,MD,F,3914,857,4771,17.962691259693987
1910,MD,M,1532,700,2232,31.36200716845878
1910,ME,F,1598,197,1795,10.974930362116991
1910,ME,M,546,130,676,19.230769230769234
1910,MI,F,7655,1019,8674,11.747751902236569
1910,MI,M,2762,634,3396,18.669022379269727
1910,MN,F,5208,629,5837,10.776083604591399
1910,MN,M,1945,404,2349,17.198808003405706
1910,MO,F,9480,1449,10929,13.258303595937415
1910,MO,M,3968,1012,4980,20.32128514056225
1910,MS,F,9157,1306,10463,12.482079709452355
1910,MS,M,4928,1511,6439,23.466376766578662
1910,MT,F,774,146,920,15.869565217391305
1910,MT,M,329,104,433,24.018475750577366
1910,NC,F,10884,1722,12606,13.660161827701096
1910,NC,M,4605,1879,6484,28.979025293028993
1910,ND,F,1895,256,2151,11.90144119014412
1910,ND,M,680,142,822,17.27493917274939
1910,NE,F,3046,450,3496,12.871853546910755
1910,NE,M,1173,262,1435,18.257839721254353
1910,NH,F,744,106,850,12.470588235294118
1910,NH,M,229,74,303,24.422442244224424
1910,NJ,F,7225,1421,8646,16.4353458246588
1910,NJ,M,2421,1250,3671,34.0506673930809
1910,NM,F,760,152,912,16.666666666666664
1910,NM,M,509,186,695,26.762589928057558
1910,NV,F,16,10,26,38.46153846153847
1910,NV,M,31,10,41,24.390243902439025
1910,NY,F,27797,4631,32428,14.280868385345997
1910,NY,M,10946,4785,15731,30.41764668488971
1910,OH,F,12544,2428,14972,16.216938284798292
1910,OH,M,4723,1431,6154,23.253168670783232
1910,OK,F,6421,854,7275,11.738831615120276
1910,OK,M,2625,610,3235,18.856259659969087
1910,OR,F,1219,154,1373,11.216314639475602
1910,OR,M,450,120,570,21.052631578947366
1910,PA,F,25209,6400,31609,20.247397893005157
1910,PA,M,9234,4377,13611,32.1578135331717
1910,RI,F,1090,255,1345,18.95910780669145
1910,RI,M,360,191,551,34.66424682395644
1910,SC,F,8043,1316,9359,14.06133133881825
1910,SC,M,3864,1760,5624,31.29445234708393
1910,SD,F,1548,218,1766,12.344280860702153
1910,SD,M,468,136,604,22.516556291390728
1910,TN,F,9043,1435,10478,13.695361710250047
1910,TN,M,3612,1191,4803,24.797001873828858
1910,TX,F,17316,1998,19314,10.344827586206897
1910,TX,M,7267,1808,9075,19.922865013774103
1910,UT,F,902,149,1051,14.176974310180782
1910,UT,M,340,103,443,23.25056433408578
1910,VA,F,9182,1600,10782,14.839547393804489
1910,VA,M,3713,1372,5085,26.981317600786625
1910,VT,F,588,93,681,13.656387665198238
1910,VT,M,208,61,269,22.676579925650557
1910,WA,F,2362,351,2713,12.937707335053448
1910,WA,M,979,237,1216,19.490131578947366
1910,WI,F,6059,745,6804,10.949441504997061
1910,WI,M,1971,434,2405,18.045738045738048
1910,WV,F,4875,844,5719,14.757824794544499
1910,WV,M,1558,442,2000,22.1
1910,WY,F,145,41,186,22.043010752688172
1910,WY,M,76,47,123,38.21138211382114
1911,AK,F,25,19,44,43.18181818181818
1911,AK,M,11,29,40,72.5
1911,AL,F,10426,1543,11969,12.891636728214554
1911,AL,M,4673,1611,6284,25.636537237428392
1911,AR,F,6300,859,7159,11.998882525492387
1911,AR,M,2667,796,3463,22.9858504187121
1911,AZ,F,558,116,674,17.210682492581604
1911,AZ,M,326,128,454,28.193832599118945
1911,CA,F,5784,818,6602,12.390184792487124
1911,CA,M,2675,707,3382,20.904790065050268
1911,CO,F,1969,374,2343,15.96244131455399
1911,CO,M,1000,307,1307,23.488905891354246
1911,CT,F,3455,747,4202,17.77724892908139
1911,CT,M,1814,892,2706,32.96378418329638
1911,DC,F,800,163,963,16.926272066458985
1911,DC,M,457,183,640,28.59375
1911,DE,F,429,97,526,18.44106463878327
1911,DE,M,181,89,270,32.96296296296296
1911,FL,F,3239,503,3742,13.442009620523784
1911,FL,M,1740,687,2427,28.30655129789864
1911,GA,F,13123,1891,15014,12.594911416011723
1911,GA,M,6663,2294,8957,25.61125376800268
1911,HI,F,391,93,484,19.214876033057852
1911,HI,M,164,82,246,33.33333333333333
1911,IA,F,5381,788,6169,12.77354514508024
